scheme,load,run,total_arrivals,blocked,dropped,success,total_mapped_vnfs,migrated_vnfs,total_state_mb,migrated_state_mb,energy_idle_j,energy_load_j,energy_mig_j,energy_total_j
RCM,300,17,30823,132,18241,12450,99525,53424,838104.5907,524607.9229,1459680.0,68685.5284,6944.4792,1535310.0076
RCM,300,18,30775,122,18269,12384,99429,54950,842353.9397,543770.1417,1459680.0,69165.2002,7187.1014,1536032.3017
RCM,300,19,31162,129,18486,12547,100462,53299,845465.1159,521666.3497,1459680.0,69835.8232,6929.5635,1536445.3867
RCM,300,20,30783,112,18133,12538,99353,52809,839388.2144,520491.9906,1459680.0,68494.5696,6888.8199,1535063.3895
RCM,400,21,41232,305,24394,16533,132960,78289,1123610.4434,786844.4537,1459680.0,101783.6855,10334.4445,1571798.13
RCM,400,22,41517,318,24569,16630,133587,77860,1126244.4827,786380.6777,1459680.0,101529.1557,10319.7068,1571528.8625
RCM,400,23,41374,310,24373,16691,133158,77243,1123524.3689,779405.7504,1459680.0,100979.5628,10216.9575,1570876.5203
RCM,400,24,41156,285,24180,16691,132301,76114,1114484.5724,765375.1181,1459680.0,100030.5534,10049.3512,1569759.9046
RCM,400,25,41331,323,24404,16604,132965,78339,1120491.5238,783338.1006,1459680.0,101693.0981,10306.581,1571679.6792
RCM,500,26,51490,604,30202,20684,164951,103251,1389512.775,1046251.5411,1459680.0,135805.942,13692.9154,1609178.8574
RCM,500,27,51638,635,30165,20838,164864,103955,1383733.2668,1048407.5133,1459680.0,135736.2959,13738.8751,1609155.171
RCM,500,28,51345,636,30087,20622,164280,102849,1381816.3654,1045397.4714,1459680.0,135855.222,13665.9747,1609201.1967
RCM,500,29,51887,667,30412,20808,165809,103303,1392236.4819,1041496.8682,1459680.0,136647.6777,13658.6687,1609986.3464
RCM,500,30,51537,634,30024,20879,164472,102848,1378603.0019,1036569.2564,1459680.0,134918.3263,13601.4926,1608199.8189
RCM,600,31,61531,1107,35500,24924,194984,132228,1632398.99,1342999.6662,1459680.0,171757.5942,17549.3967,1648986.9908
RCM,600,32,62235,1190,36228,24817,197676,134220,1656950.1688,1368731.856,1459680.0,175391.8347,17873.2186,1652945.0532
RCM,600,33,62203,1138,36001,25064,197338,133522,1654104.9277,1357839.8225,1459680.0,174337.3047,17750.1982,1651767.5029
RCM,600,34,62016,1115,36152,24749,197117,133081,1654616.5233,1360462.877,1459680.0,174710.0443,17735.6288,1652125.6731
RCM,600,35,61813,1064,35909,24840,196109,130308,1639781.614,1328442.4667,1459680.0,172526.927,17341.6247,1649548.5517
RCM,700,36,72057,1883,41097,29077,226124,165092,1894353.5353,1689285.4915,1459680.0,211542.2324,22030.1549,1693252.3873
RCM,700,37,72397,1844,41299,29254,226841,160806,1890750.8694,1639766.83,1459680.0,212321.8263,21416.9683,1693418.7946
RCM,700,38,72094,1805,41664,28625,226804,164301,1899598.3025,1679905.7497,1459680.0,214130.7474,21905.1575,1695715.9049
RCM,700,39,72506,1877,41704,28925,227634,163883,1902389.0038,1671226.0014,1459680.0,214324.9747,21832.86,1695837.8347
RCM,700,40,72108,1842,41413,28853,226648,164061,1895274.3391,1679066.6658,1459680.0,212335.688,21903.0667,1693918.7547
RCM,800,41,82904,3008,46791,33105,257132,198324,2145965.4763,2034690.5976,1459680.0,255535.0371,26529.506,1741744.5431
RCM,800,42,82095,2848,46332,32915,254655,193340,2122420.6405,1979847.715,1459680.0,251844.8843,25851.1772,1737376.0615
RCM,800,43,82018,2804,46372,32842,254634,195443,2121838.1732,1995291.1597,1459680.0,253495.2212,26069.6116,1739244.8328
RCM,800,44,82044,2818,46217,33009,254517,192950,2120275.9496,1968289.1506,1459680.0,251516.8896,25733.0915,1736929.9811
RCM,800,45,82237,2963,46381,32893,254879,196739,2123643.7986,2008867.7916,1459680.0,253407.9794,26262.0779,1739350.0573
RCM,900,46,92599,4157,51520,36922,283805,233518,2357125.1428,2371882.86,1459680.0,295847.4826,31060.9286,1786588.4112
RCM,900,47,92572,4122,51491,36959,283956,229802,2359571.1996,2338204.606,1459680.0,294259.4234,30602.7461,1784542.1695
RCM,900,48,93224,4157,51635,37432,285068,231770,2362825.9328,2358379.9603,1459680.0,297039.8558,30872.6996,1787592.5554
RCM,900,49,93256,4170,51957,37129,285490,234224,2367431.7782,2387059.2443,1459680.0,298591.4458,31239.5924,1789511.0383
RCM,900,50,92438,4167,51312,36959,282766,229546,2345494.448,2340525.1053,1459680.0,293937.5487,30631.6511,1784249.1998
RCM,1000,51,103694,6058,56439,41197,312074,269340,2576390.9236,2722023.0221,1459680.0,340576.8,35760.3302,1836017.1302
RCM,1000,52,103242,5919,56370,40953,311059,266711,2576446.1951,2705078.7915,1459680.0,339450.8105,35496.7879,1834627.5984
RCM,1000,53,103307,5863,56107,41337,311117,267244,2564698.4901,2696248.7261,1459680.0,338318.5635,35423.3873,1833421.9508
RCM,1000,54,103155,5999,56293,40863,310570,266806,2568791.7488,2697423.3197,1459680.0,338312.2402,35438.1332,1833430.3734
RCM,1000,55,103197,5726,56395,41076,311514,267405,2572671.7965,2704381.3101,1459680.0,338005.1715,35515.6131,1833200.7846
